Month:9
Total Dates, Total Places
 32, 42
Place, Count
43 Blueberry Ln, 108
Darien High School, 11
9 Shipway Rd(Rental), 9
Goodwives Shopping Center, 6
Royle Elementary School(Football Practice), 5
Ox Ridge Elementary School, 5
Darien EMS - Post 53 Inc., 4
Darien, 4
CVS, 3
520 Hoyt St, 3
Waveny Park, 2
West Beach, 2
FOOD BAG, 2
Walmart, 2
Darinor Plaza, 2
Quest Diagnostics Darien, 1
Ox Ridge Hunt Club, 1
11 Glenvale Ave, 1
Sacred Heart Greenwich, 1
Middlesex Middle School, 1
Chick-fil-A, 1
Stony Brook, 1
Whole Foods Market, 1
uBreakiFix Darien, 1
Sails American Grill, 1
Stamford Twin Rinks, 1
Methodist Family Center Preschool, 1
Rhett J Drugge Md Pc, 1
BevMax, 1
Hindley Elementary School, 1
The Home Depot, 1
St. Thomas More Church, 1
Shell, 1
New Canaan High School, 1
ShopRite of Shippan Ave- Stamford, CT, 1
Glenbrook Shopping Center, 1
213 CT-106, 1
95 Hoyt St, 1
ShopRite of Norwalk, 1
Bull's Head Shopping Center, 1
High Ridge Shopping Center, 1
Malibu, 1
