Month:11
Total Dates, Total Places
 27, 53
Place, Count
43 Blueberry Ln, 71
The Home Depot, 5
9 Shipway Rd(Rental), 4
CVS, 4
Goodwives Shopping Center, 3
HSS Stamford, 3
SPRINGDALE SHOPPING CENTER, 3
Santé Naturopathic & Acupuncture, 3
520 Hoyt St, 3
Walmart, 2
Darien High School, 2
Whole Foods Market, 2
ShopRite of Shippan Ave- Stamford, CT, 2
4 Christie Hill Rd, 2
Ox Ridge Elementary School, 2
uBreakiFix Darien, 2
Veloz Barbershop, 2
Wee Burn Country Club Inc, 2
St. Thomas More Church, 1
Baker Park, 1
Mobil, 1
Newtown Municipal Center, 1
ShopRite of Norwalk, 1
Judicial District Court, 1
31 Arrowhead Way, 1
Darien Board of Education, 1
Quest Diagnostics Darien, 1
Middlesex Middle School, 1
Darien EMS - Post 53 Inc., 1
Mama Carmela's Deli, 1
Stony Brook, 1
Darien, 1
Stamford Twin Rinks, 1
Crescent Cleaners & Launderers, 1
Darien Sport Shop, 1
6 Hickory Ln, 1
Iron Peak Sports & Events, 1
99 Allen St, 1
Weed Beach Tennis, 1
Frate's Wines & Liquors, 1
Cove Island, 1
SONO Field House, 1
Stamford Health Medical Group - Obstetrics and Gynecology - Darien, 1
Bronx House Pizza, 1
Costco Wholesale, 1
24 Thomasina Ln, 1
Hope Bottle Shop, 1
Mianus River parking, 1
Global, 1
Stop & Shop, 1
Mianus River Park, 1
Burning Tree Country Club, 1
DICK'S Sporting Goods, 1
