Month:12
Total Dates, Total Places
 30, 36
Place, Count
43 Blueberry Ln, 65
9 Shipway Rd(Rental), 8
Goodwives Shopping Center, 6
Costco Wholesale, 3
The Home Depot, 3
CVS, 3
520 Hoyt St, 3
Santé Naturopathic & Acupuncture, 2
Stop & Shop, 2
ShopRite of Norwalk, 2
FOOD BAG, 2
Shell, 2
Darien Sport Shop, 1
bp, 1
Noroton Heights Fire Department, 1
Darien Butcher Shop, 1
Rhett J Drugge Md Pc, 1
Darien High School, 1
Quest Diagnostics Norwalk Cross Street - Employer Drug Testing Not Offered, 1
Darien EMS - Post 53 Inc., 1
SPRINGDALE SHOPPING CENTER, 1
REI, 1
Crescent Cleaners & Launderers, 1
Quest Diagnostics Darien, 1
Crescendo Music, 1
Walmart, 1
Main Avenue Shopping Plaza, 1
Bob's Discount Furniture and Mattress Store, 1
Michaels, 1
Bull's Head Shopping Center, 1
High Ridge Shopping Center, 1
LAX.com, 1
97 Cummings Ave, 1
Verizon Authorized Retailer - Wireless Zone, 1
LaGuardia Airport, 1
Al's Warehouse Wine Beer, 1
